epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,460.916,0.86193,2.52279,1.10992,0.9336,0.3414,0.41415,0.30027,2.36542,20.353,1.2189,0.000660194,0.000660194,0.000660194
2,891.502,1.01399,1.88318,1.19481,0.441,0.27119,0.27047,0.19004,2.53251,102.408,1.30318,0.00131372,0.00131372,0.00131372
3,1321.78,1.12261,1.65056,1.26039,0.00735,0.17918,0.00294,0.00154,3.19533,58.2295,1.63687,0.00195406,0.00195406,0.00195406
