epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.0904,0.9576,3.15378,1.5382,0.00333,1,0.51232,0.32422,0.82506,3.30941,1.41367,0.00036,0.00036,0.00036
2,156.749,0.93831,2.61804,1.55117,0.00333,1,0.53183,0.28571,1.02428,3.45145,1.73947,0.00066674,0.00066674,0.00066674
3,230.99,0.96345,2.42647,1.56213,0.78169,0.06375,0.57317,0.30233,1.1478,3.45719,1.80177,0.00089824,0.00089824,0.00089824
4,304.323,1.01963,2.39853,1.61657,0.48636,0.50877,0.4443,0.23599,1.34179,3.42573,2.35039,0.0010545,0.0010545,0.0010545
5,377.989,1.00593,2.14927,1.59956,0.76132,0.55964,0.69309,0.48778,1.19002,2.72494,1.95795,0.00113552,0.00113552,0.00113552
6,453.465,0.93871,1.98388,1.53048,0.76858,0.58273,0.61036,0.43311,1.05286,2.49214,1.66134,0.00101,0.00101,0.00101
7,527.291,0.95521,1.8488,1.5518,0.77542,0.59649,0.757,0.55527,1.02177,2.19526,1.61054,0.000812,0.000812,0.000812
8,602.343,0.86148,1.70287,1.43662,0.87597,0.75439,0.82773,0.5925,0.95234,1.82763,1.55082,0.000614,0.000614,0.000614
9,676.861,0.76892,1.56483,1.37221,0.89857,0.75439,0.84397,0.64692,0.84478,1.69276,1.40303,0.000416,0.000416,0.000416
10,751.917,0.76352,1.46165,1.33868,0.89134,0.80702,0.87468,0.69435,0.73955,1.55007,1.28729,0.000218,0.000218,0.000218
