epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.935,1.40934,2.42793,1.67903,0.99478,0.45614,0.55398,0.41326,1.31416,2.48162,1.6009,0.000540231,0.000540231,0.000540231
2,305.186,1.01051,1.45386,1.32594,0.55479,0.52163,0.5621,0.44923,1.16852,1.83535,1.50866,0.000987404,0.000987404,0.000987404
3,446.444,0.94567,1.22998,1.25316,0.58164,0.69712,0.57989,0.48463,1.02881,1.62683,1.33266,0.00132455,0.00132455,0.00132455
4,585.427,0.90667,1.12883,1.17639,0.67539,0.66587,0.64666,0.508,0.93653,1.21362,1.25573,0.0011719,0.0011719,0.0011719
5,722.454,0.81141,1.02456,1.11063,0.69597,0.79087,0.69649,0.54724,0.90565,1.08303,1.20005,0.00100687,0.00100687,0.00100687
6,859.706,0.7302,0.9277,1.0768,0.69612,0.7948,0.72124,0.60233,0.71692,0.87709,1.07039,0.000841835,0.000841835,0.000841835
7,995.9,0.69005,0.8578,1.03553,0.76933,0.89904,0.76474,0.63277,0.70936,0.83272,1.04818,0.000676802,0.000676802,0.000676802
8,1138.83,0.64788,0.81138,1.02995,0.72457,0.8125,0.75226,0.64372,0.66761,0.86183,1.02562,0.000511769,0.000511769,0.000511769
9,1280.04,0.59949,0.75157,0.98641,0.77346,0.87166,0.82207,0.67839,0.64755,0.75837,1.02123,0.000346736,0.000346736,0.000346736
10,1417.95,0.55125,0.70018,0.97061,0.86902,0.85817,0.90095,0.74976,0.59376,0.70424,0.99519,0.000181703,0.000181703,0.000181703
